,youtube_id,comment,like_num
0,River두유,고양이도 잘그리셨는데ㅠㅜ,107개
1,NiNi,여기 진짜 개비쌈 네일스티커 동대문가면 천원퀄 파는거 2만원이고 팔찌도 몇백원하는거 몇만원씩 팜,95개
2,버키,2만원....,38개
3,보혜,4:45 건널 수 없는 강을 건너는..게 아니고 돌아올 수 없는 강을 건너는...,16개
4,BubbleBubble,수수 너무 이뻣는데... ㅠㅠㅠ 힝,23개
5,Millie,라뮤끄님은 볼때마다 정말 섬세.. 그런데 온유님은 볼때마다 너무 궁금했는데 예전에 스타일리스트하셨던 건지 원래 인맥이 좋으신건지 아티스트들이랑 많이 친하기도 하시고 유명하신 것 같은데 이유가 뭔가요?😭,1개
6,미쯔초코,헐.. 라뮤끄님 고향이 천안이라니 저두 천안인데 괜히 반갑네늉,3개
7,최해삼,며칠전에 학교선배랑 술먹다가 에크멀립스틱 추천했는데 동기라고해서 깜짝놀랬어여! 첨알았어여 ㅋㅋㅋㅋㅋ 섬세완벽한 메이크업이다했는데 역시 미대라그럴까여,1개
8,HoomieKi,Cute idea! The studio is cute. You're so good! You paint really well. I love the cats!!,0개
9,jiahs,여기 임블리가 갔던 곳이네효ㅎㅎ,18개
10,요리하고화장하는언니요화언,운동화 너무 예쁜데요?!><ㅋㅋㅋㅋ저도 흰색운동화나 기본템사서 따라해봐야겠어요~~~👍👍,4개
11,MereaniQalovakawasa,Sooo beautiful 😍💕 what a fun project! I'm gonna try this 😊🌱,0개
12,박룰루,재밌겠다ㅜㅜ,2개
13,이지은,흰색칠할때 사용하신 붓 정보 궁금해요!!! 집에서 꼭 해보고 싶어용!,2개
14,정현선,진짜 너무 이쁘네용ㅠㅠ 저두 하구싶어용,0개
15,SooYummy수야미,온유님을 여기서 뵙다니... 전직 미대생으로써 너무재밌어요 ..❤️❤️,1개
16,은밍밍,라뮤끄님 혹쉬... 귀걸이 정보 알슈있을까요...? ㅠㅠㅠㅠㅠ,0개
17,르미르미,제가 팔로우하는 두분의 콜라보라니 저도 함께하고싶어용♡,0개
18,안은별,온유님 블라우스 엄총이뿌네용 라뮤끄님두 피부존좋.. 대리만족즁,0개
19,오뉴,라뮤끄언니 슬의에 채송화(전미도 님) 많이닮으신거같아요💗!!,0개
20,ChrisKim,언니..귀여웡..❤️거기에 패션센스까지..!,0개
21,해인,커스텀 신발 너무 귀여워요!!,0개
22,정소희,아이고 예쁘다❤️ㅎㅎ,0개
23,아라라라,언니 너무 좋아효~~~~~🥰,0개
24,baebae,"오와아아 ??온유님이랑도 친분있으셔요오 ?? 
신발보고 온유님이그렸는데 했는데 진짜 온유님등장✨ 아 머쉬룸이 새 작업실이었네요 인스타에서보구 새로운 인테리어샵인줄알랐네여ㅎㅎ",0개
25,버터프레첼,헝 언니 기다렸어요ㅠ,0개
26,이승아,온유님 너무 귀여워ㅜㅜㅠ,3개
27,Angelineuwu,"No entendí casi nada, pero igual me gusto jsjs",2개
28,유니카,저거 해보고프다...,0개
29,EMiinVlogs,so cute!! w,1개
30,AngeloAngelo,제니 ❤️,1개
31,귀멸의뽕짝,1빠!!!,1개
32,Kari,Great place!!🤩👍🏻,0개
33,꾸구꾸구,따라하고싶다,1개
34,칠칠칠칠,네일스티커 2만윈 개오바,5개
35,BLACKPINKUnit,Jennie trendsetter,0개
